Product_A,Product_B,CoCount,Support,Confidence_A_to_B,Confidence_B_to_A,Lift
Service kit; Shoes New Swift,"W/C ASSLY RR, Ø 15.87MM",99,0.005818395533352924,0.1793478260869565,0.17967332123411978,5.538299928982878
"W/C ASSLY RR, Ø 15.87MM",W/C ASSY. RH(K23/40),103,0.006053482221569204,0.1869328493647913,0.1791304347826087,5.531586838159868
"PAD KIT,  Frt",SHOE KIT(12),121,0.007111372318542463,0.2894736842105263,0.13474387527839643,5.484849372875395
MINOR KIT BAL TMC IAM,MINOR KIT TMC,36,0.002115780193946518,0.1572052401746725,0.0736196319018405,5.470035095239371
SHOE HOLD DOWN SPRING(A.A),SHOE KIT LH (A.A.),56,0.0032912136350279164,0.23628691983122363,0.0761904761904762,5.469961824392204
"SHOE KIT WITH HBL, OMNI UPG.",SHOE KIT(12),124,0.007287687334704672,0.2877030162412993,0.13808463251670378,5.451299355618828
SHOE KIT  RH(A.A.),Shoes Assy W/O Spring,36,0.002115780193946518,0.04878048780487805,0.23529411764705882,5.42483660130719
"PAD KIT,  Frt",Shoe Kit,209,0.012283279459300618,0.5,0.13303628262253342,5.415340547422024
SHOE KIT(12),"W/C ASSLY RR, Ø 15.87MM",157,0.00922715251248898,0.17483296213808464,0.2849364791288566,5.3988799469682585
SPRING SHOE RETURN UPPER(G46/400),W/C ASSY. LH(19.05 mm),10,0.0005877167205406994,0.07936507936507936,0.0398406374501992,5.380067033453488
"SHOE KIT WITH HBL, OMNI UPG.",W/C ASSY. RR.(17.46 mm) YE2,44,0.002585953570379077,0.10208816705336426,0.13538461538461538,5.3447081920399775
SHOE KIT LH (A.A.),SPRING SHOE RETURN UPPER(G46/400),29,0.0017043784895680281,0.03945578231292517,0.23015873015873015,5.328096317892236
BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),BRAKE FLUID 100ml DOT3 (Non Petroleum),696,0.04090508374963268,0.38116100766703176,0.5704918032786885,5.315946348733235
W/C ASSY LH SANTRO,W/C ASSY. LH.omni (k26/40),94,0.005524537173082574,0.16319444444444445,0.17973231357552583,5.309280061610367
SHOE HOLD DOWN SPRING(A.A),W/C ASSY. RH(19.05 mm),19,0.001116661769027329,0.08016877637130802,0.07392996108949416,5.307672101003136
SPRING SHOE RETURN UPPER(G46/400),Shoes Assy W/O Spring,6,0.0003526300323244196,0.047619047619047616,0.0392156862745098,5.29567382508559
"SERVICE KIT; SHOE KIT, ALTO CD,170",W/C ASSY. RH(K23/40),94,0.005524537173082574,0.1776937618147448,0.1634782608695652,5.25819018657023
SHOE HOLD DOWN SPRING(A.A),SHOE KIT  (1 LEADING- 1 TRAILING),54,0.0031736702909197765,0.22784810126582278,0.07277628032345014,5.2248456105633085
PAD FRICTION KING,"W/C ASSLY RR, Ø 15.87MM",83,0.004878048780487805,0.1656686626746507,0.15063520871143377,5.115884383682726
W /C ASSY RH SANTRO,"W/C ASSLY RR, Ø 15.87MM",90,0.005289450484866294,0.16483516483516483,0.16333938294010888,5.090145788875372
"PAD KIT,  Frt",W/C ASSY. LH.omni (k26/40),65,0.003820158683514546,0.15550239234449761,0.124282982791587,5.059030986121657
KBX  PAD KIT,"PAD KIT,  Frt",285,0.016749926535409933,0.12375162831089882,0.6818181818181818,5.037401807918526
BONDED BRAKE SHOE KIT (KBX type),Shoe Kit,203,0.011930649426976197,0.4645308924485126,0.12921705919796309,5.031185954813139
W/C  ASSY(15.87)(K14/100),"W/C ASSLY RR, Ø 15.87MM",135,0.007934175727299441,0.16206482593037214,0.24500907441016334,5.004597120154777
W/C ASSY LH SANTRO,W/C ASSY. RR.(17.46 mm) YE2,55,0.0032324419629738465,0.0954861111111111,0.16923076923076924,4.9990651709401694
SHOE KIT LH (A.A.),Shoes Assy W/O Spring,33,0.001939465177784308,0.044897959183673466,0.21568627450980393,4.993063892223556
"W/C ASSLY RR, Ø 15.87MM",W/C Model K cr3 (19.05)(K31/100),68,0.003996473699676756,0.12341197822141561,0.16113744075829384,4.975959264069637
KBX  PAD KIT,PAD FRICTION KING,337,0.01980605348222157,0.14633087277464177,0.6726546906187625,4.969700200120818
W /C ASSY RH SANTRO,W/C ASSY. LH.omni (k26/40),83,0.004878048780487805,0.152014652014652,0.1586998087954111,4.9455627228093775
PAD FRICTION KING,Shoe Kit,228,0.013399941228327945,0.4550898203592814,0.14513049013367282,4.9289327138212435
"SERVICE KIT; SHOE KIT, ALTO CD,170",W/C ASSY LH SANTRO,88,0.005171907140758154,0.166351606805293,0.1527777777777778,4.914014912833438
PAD FRICTION KING,W/C ASSY. RR.(17.46 mm) YE2,47,0.002762268586541287,0.09381237524950099,0.14461538461538462,4.911438661139259
MINOR KIT BAL TMC IAM,MINOR KIT W/C(J29/250),12,0.0007052600646488392,0.05240174672489083,0.06557377049180328,4.872217052043811
"SHOE KIT WITH HBL, OMNI UPG.",W /C ASSY RH SANTRO,67,0.003937702027622686,0.1554524361948956,0.1227106227106227,4.844364838564374
BONDED BRAKE SHOE KIT (KBX type),Shoes Assy W/O Spring,19,0.001116661769027329,0.043478260869565216,0.12418300653594772,4.835180448991191
SHOE KIT  (1 LEADING- 1 TRAILING),Shoes Assy W/O Spring,32,0.001880693505730238,0.0431266846361186,0.20915032679738563,4.796081954794497
W/C ASSY LH SANTRO,W/C ASSY. RR. RH.(17.46 mm),63,0.003702615339406406,0.109375,0.16195372750642673,4.784101863753213
Shoe Kit,W/C ASSY. RR.(17.46 mm) YE2,143,0.008404349103732,0.0910248249522597,0.44,4.765499681731381
SHOE RETURN SPRING(A.A),W/C ASSY. RR.(17.46 mm) YE2,19,0.001116661769027329,0.09090909090909091,0.05846153846153846,4.759440559440559
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT  RH(A.A.),90,0.005289450484866294,0.20594965675057209,0.12195121951219512,4.748283752860412
BONDED BRAKE SHOE KIT (KBX type),W/C ASSY. RH(K23/40),70,0.004114017043784896,0.16018306636155608,0.12173913043478261,4.740025868072829
"SHOE KIT WITH HBL, OMNI UPG.",Shoe Kit,188,0.011049074346165148,0.4361948955916473,0.11966900063653724,4.724287809351927
W/C ASSY. RH(K23/40),W/C ASSY. RR. RH.(17.46 mm),62,0.003643843667352336,0.10782608695652174,0.15938303341902313,4.71635184978205
BRAKE FLUID 1/2 Lt DOT4 (Non Petroleum),BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),50,0.0029385836027034967,0.2403846153846154,0.0576036866359447,4.7121477313009565
BONDED BRAKE SHOE KIT (KBX type),W/C ASSY LH SANTRO,69,0.004055245371730826,0.15789473684210525,0.11979166666666667,4.6641995614035086
"SERVICE KIT; SHOE KIT, ALTO CD,170",W /C ASSY RH SANTRO,79,0.004642962092271525,0.14933837429111532,0.1446886446886447,4.653832305061038
SHOE KIT LH (A.A.),SHOE RETURN SPRING(A.A),42,0.002468410226270937,0.05714285714285714,0.20095693779904306,4.652084757347914
SHOE KIT(12),W/C ASSY. LH.omni (k26/40),128,0.007522774022920952,0.14253897550111358,0.2447418738049713,4.637286172373705
SHOE KIT(12),W/C ASSY. RH(K23/40),140,0.008228034087569792,0.155902004454343,0.24347826086956523,4.613343662244602
SHOE KIT  (1 LEADING- 1 TRAILING),SHOE RETURN SPRING(A.A),42,0.002468410226270937,0.05660377358490566,0.20095693779904306,4.608197165297463
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT(INCRIMENTAL ADJ.)15,98,0.005759623861298854,0.2242562929061785,0.11821471652593486,4.602799546198585
Shoe Kit,W/C ASSY. LH.omni (k26/40),221,0.012988539523949457,0.1406747294716741,0.4225621414913958,4.576635797247676
W/C ASSY. LH.omni (k26/40),W/C ASSY. RH(19.05 mm),36,0.002115780193946518,0.06883365200764818,0.14007782101167315,4.557216299261222
PAD FRICTION KING,W/C ASSY. RH(K23/40),77,0.004525418748163385,0.1536926147704591,0.13391304347826086,4.547964939685846
PAD FRICTION KING,W/C ASSY. LH.omni (k26/40),70,0.004114017043784896,0.13972055888223553,0.1338432122370937,4.545593325776745
"SERVICE KIT; SHOE KIT, ALTO CD,170",SHOE KIT,343,0.02015868351454599,0.6483931947069943,0.14103618421052633,4.536352881554074
SHOE KIT(12),Shoe Kit,374,0.021980605348222156,0.41648106904231624,0.2380649267982177,4.510773640837053
Service kit; Shoes New Swift,W/C ASSY. RH(K23/40),84,0.004936820452541874,0.15217391304347827,0.14608695652173914,4.503024574669187
"SERVICE KIT; SHOE KIT, ALTO CD,170",SHOE KIT(INCRIMENTAL ADJ.)15,116,0.006817513958272113,0.21928166351606806,0.1399276236429433,4.500696628137392
SHOE KIT,Service kit; Shoes New Swift,353,0.020746400235086688,0.14514802631578946,0.6394927536231884,4.474082731454996
Service kit; Shoes New Swift,W/C ASSY. RR.(17.46 mm) YE2,47,0.002762268586541287,0.08514492753623189,0.14461538461538462,4.457664437012263
"SERVICE KIT; SHOE KIT, ALTO CD,170",W/C ASSY. RR.(17.46 mm) YE2,45,0.002644725242433147,0.08506616257088846,0.13846153846153847,4.453540788134361
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT LH (A.A.),84,0.004936820452541874,0.19221967963386727,0.11428571428571428,4.449820202680614
"SERVICE KIT; SHOE KIT, ALTO CD,170",SHOE KIT  (1 LEADING- 1 TRAILING),102,0.005994710549515133,0.19281663516068054,0.13746630727762804,4.4215297132870335
SHOE HOLD DOWN SPRING(A.A),W/C ASSY. RR.(17.46 mm) YE2,20,0.0011754334410813989,0.08438818565400844,0.06153846153846154,4.418046088932165
BONDED BRAKE SHOE KIT (KBX type),KBX  PAD KIT,261,0.015339406406112253,0.597254004576659,0.11333043855840208,4.412625656913528
SHOE KIT  RH(A.A.),SHOE RETURN SPRING(A.A),40,0.0023508668821627977,0.05420054200542006,0.19138755980861244,4.412546517809676
"SHOE KIT WITH HBL, OMNI UPG.",Shoes Assy W/O Spring,17,0.000999118424919189,0.03944315545243619,0.1111111111111111,4.386439804073214
"SHOE KIT WITH HBL, OMNI UPG.",W/C  ASSY(15.87)(K14/100),92,0.005406993828974434,0.21345707656612528,0.11044417767106843,4.360110633580578
SHOE HOLD DOWN SPRING(A.A),SHOE KIT RH RR APE CITY (I 11/20),13,0.0007640317367029092,0.05485232067510549,0.06046511627906977,4.3409871455205575
MINOR KIT (Only Seals),MINOR KIT W/C(J29/250),15,0.000881575080811049,0.04643962848297214,0.08196721311475409,4.317870375069786
KBX  PAD KIT,"SERVICE KIT; SHOE KIT, ALTO CD,170",309,0.018160446664707612,0.13417281806339557,0.5841209829867675,4.3155964070863435
W /C ASSY RH SANTRO,W/C ASSY. RR.(17.46 mm) YE2,45,0.002644725242433147,0.08241758241758242,0.13846153846153847,4.314877430262045
KBX  PAD KIT,Service kit; Shoes New Swift,321,0.01886570672935645,0.13938341293964393,0.5815217391304348,4.29639270139138
W/C ASSY. RH(K23/40),W/C ASSY. RR.(17.46 mm) YE2,47,0.002762268586541287,0.0817391304347826,0.14461538461538462,4.279357859531771
BRAKE FLUID 100 ml  DOT4 (Non Petroleum),BRAKE FLUID 100ml DOT3 (Non Petroleum),111,0.006523655598001763,0.30662983425414364,0.09098360655737706,4.276480844126438
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT  (1 LEADING- 1 TRAILING),81,0.004760505436379665,0.1853546910755149,0.1091644204851752,4.250417882277474
"PAD KIT,  Frt",W/C ASSY. RH(K23/40),60,0.003526300323244196,0.14354066985645933,0.10434782608695652,4.247555648013313
SHOE KIT,SHOE KIT  RH(A.A.),448,0.02632970908022333,0.18421052631578946,0.6070460704607046,4.247076023391813
BONDED BRAKE SHOE KIT (KBX type),SHOE KIT,265,0.015574493094328533,0.6064073226544623,0.10896381578947369,4.242607152535228
SHOE KIT,SHOE KIT LH (A.A.),444,0.026094622392007053,0.1825657894736842,0.6040816326530613,4.226335929108485
"SERVICE KIT; SHOE KIT, ALTO CD,170",Shoes Assy W/O Spring,20,0.0011754334410813989,0.03780718336483932,0.13071895424836602,4.204504738253209
Shoe Kit,"W/C ASSLY RR, Ø 15.87MM",212,0.012459594475462826,0.1349458943348186,0.38475499092558985,4.167158606364679
BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),140,0.008228034087569792,0.445859872611465,0.07667031763417305,4.154603358425015
SPRING SHOE RETURN UPPER(G46/400),W/C ASSY. LH.omni (k26/40),16,0.000940346752865119,0.12698412698412698,0.030592734225621414,4.131233117848796
KBX  PAD KIT,"SHOE KIT WITH HBL, OMNI UPG.",241,0.014163972965030856,0.1046461137646548,0.5591647331786543,4.131214908829702
SHOE RETURN SPRING(A.A),W/C ASSY. RH(19.05 mm),13,0.0007640317367029092,0.06220095693779904,0.05058365758754864,4.118090592593971
"PAD KIT,  Frt",SHOE KIT,246,0.014457831325301205,0.5885167464114832,0.10115131578947369,4.11743932573659
