Rank,State,Part Group,Material Code,Material Description,Total Quantity in State,Total Sales Value in State,State Market Share (%)
101,Madhya Pradesh,BRAKE PARTS,ZF04N601597TB,Brake Pad_Tru Blue,20.0,25679.18,52.73
102,Madhya Pradesh,OTHERS,ZF04N25260AFL,A/F APE BS4,199.0,25403.04,100.0
103,Maharashtra,BRAKE PARTS,ZF04N601027TC,Brake Pad_Tru Blue CERAMIC,12.0,24214.59,64.11
104,Madhya Pradesh,BRAKE PARTS,ZF04N603057TB,Brake Pad_Tru Blue,26.0,23796.93,67.71
105,Maharashtra,BRAKE PARTS,ZF043189807GM,D/Br.assly RH ( P.Van )(H34/2),6.0,23437.99,74.23
106,Maharashtra,BRAKE PARTS,ZF04L929867TG,Rotor (Maximo Pick up),39.0,22473.06,53.87
107,Gujarat,BRAKE PARTS,ZF04N603347TB,Brake Pad_Tru Blue,19.0,22466.21,60.12
108,Madhya Pradesh,BRAKE PARTS,ZF04N643467TG,Rotor (Cre_ta),18.0,21992.94,90.0
109,Maharashtra,BRAKE PARTS,ZF04N603627TB,Brake Pad_Tru Blue,17.0,21918.57,55.09
110,Jammu and Kashmir,LUBES,ZF047979367GM,RADIATOR COOLANT 5LTR   (Antifreeze),40.0,21027.6,100.0
111,Assam,BRAKE PARTS,ZF04L67470KIT,MAJOR KIT TMC OMNI KIT508,70.0,20724.34,87.5
112,Orissa,BRAKE PARTS,ZF043182827GM,REAR BRAKEASSY. LH(H15/4),10.0,19604.51,63.15
113,Delhi,BRAKE PARTS,ZF047098017GM,REAR BR. ASSLY LH(H40/4),15.0,19512.48,100.0
114,Telangana,BRAKE PARTS,ZF047068697GM,BRAKE FRONT ALFA(H36/3),9.0,18948.74,89.24
115,Maharashtra,BRAKE PARTS,ZF04N603137TB,Brake Pad_Tru Blue,20.0,18929.58,62.77
116,Telangana,BRAKE PARTS,ZF04N543787TG,Rotor Sup_erb/ Kodi_aq,8.0,18898.88,66.67
117,Kerala,BRAKE PARTS,ZF86AB75147GM,"MAJOR KIT,DISC BRAKE(J79/25)",49.0,18749.35,76.7
118,Maharashtra,EMS,ZF04N262445IC,IGNITION COIL,7.0,18528.41,100.0
119,Tamil Nadu,BRAKE PARTS,ZF04N222667TG,ROTOR (ISUZU),20.0,18408.0,90.66
120,Delhi,BRAKE PARTS,ZF04L67479KIT,"MAJOR KIT TMC,IAM GC 1000",60.0,18315.96,100.0
121,Assam,EMS,ZF04N571705FP,FUEL PUMP MODULE SANT_RO XING,5.0,17648.67,56.7
122,Gujarat,BRAKE PARTS,ZF047810277GM,MAJOR KIT W/C,67.0,17575.04,100.0
123,Bihar,BRAKE PARTS,ZF043188947GM,AUTO ADJUSTER SUB ASSEMBLY RH -L PUNCH,67.0,17426.239999999998,90.16
124,Chhattisgarh,LUBES,ZF047494907GM,RADIATOR COOLANT 5LTR,44.0,17133.6,100.0
125,Tamil Nadu,BRAKE PARTS,ZF86AB73877GM,MINOR KIT W/C(J57/250),349.0,16661.54,100.0
126,Madhya Pradesh,BRAKE PARTS,ZF04N599707TC,Brake Pad_Tru Blue CERAMIC,8.0,16108.550000000001,56.71
127,Maharashtra,BRAKE PARTS,ZF047144867GM,HOSE FRONT BRAKE (272mm),142.0,16079.859999999999,76.89
128,Maharashtra,BRAKE PARTS,ZF04N599477TB,Brake Pad_Tru Blue,13.0,15993.48,76.45
129,Telangana,BRAKE PARTS,ZF04N307247TG,ROTOR (AS_IRE),16.0,15671.35,66.67
130,Madhya Pradesh,BRAKE PARTS,ZF047139077GM,REAR BRAKE ASSY RH,11.0,15411.33,85.53
131,Rajasthan,BRAKE PARTS,ZF04L808657GM,Back Plate Assy RH,20.0,15033.2,62.5
132,Maharashtra,BRAKE PARTS,ZF04N632547TG,Rotor (Bada_Dost),8.0,14714.14,80.0
133,Madhya Pradesh,BRAKE PARTS,ZF047139067GM,REAR BRAKE ASSY LH,10.0,14620.54,84.87
134,Kerala,EMS,ZF04N264725SS,WHEEL SPEED SENSORS,21.0,14367.44,53.85
135,Maharashtra,EMS,ZF04N261925IC,IGNITION COIL,14.0,13852.019999999999,63.64
136,Punjab,BRAKE PARTS,ZF04L81865KIT,TMC Assy w/o Reservoir,15.0,13806.0,78.95
137,Chhattisgarh,BRAKE PARTS,ZF04L705767GM,"KIT PAD ONE WHEE, REAR W201(I25/8)",15.0,13806.0,93.75
138,Gujarat,BRAKE PARTS,ZF047171467GM,Caliper Assy LH (W201) Frt,2.0,13772.25,62.58
139,Madhya Pradesh,BRAKE PARTS,ZF04N58826NIS,HONDA ACTIVA NEW (F&R),90.0,13694.86,90.0
140,Maharashtra,BRAKE PARTS,ZF04N43146NIL,CYLINDER SET MASTER,70.0,13690.960000000001,87.5
141,Tamil Nadu,BRAKE PARTS,ZF86AB77417GM,MAJOR KIT CALIPER TWIN POT(J104/25),13.0,13640.32,61.18
142,Madhya Pradesh,BRAKE PARTS,ZF04N651977TG,ROTOR ENDEA_VOUR 3rd GEN FRT,4.0,13539.08,100.0
143,Maharashtra,BRAKE PARTS,ZF04N605117TC,Brake Pad_Tru Blue CERAMIC,9.0,13450.05,75.44
144,Telangana,BRAKE PARTS,ZF04L919597TW,Vespa- PAD KIT,166.0,13345.82,81.63
145,Assam,OTHERS,ZF04N336434RL,12V METAL HORN RELAY - 3T,307.0,13287.75,100.0
146,Orissa,BRAKE PARTS,ZF04N605037TC,Brake Pad_Tru Blue CERAMIC,10.0,13192.4,71.79
147,Punjab,BRAKE PARTS,ZF04N171477GM,PAD KIT,16.0,13135.12,51.56
148,Maharashtra,BRAKE PARTS,ZF047139657GM,carier Assy Frt LH 207,12.0,13002.99,92.02
149,Maharashtra,BRAKE PARTS,ZF047139637GM,Carrier Assy Frt RH 207,12.0,13002.99,100.0
150,Delhi,BRAKE PARTS,ZF043182837GM,BACK PLATE LH(H16/8),21.0,12966.14,88.59
151,Madhya Pradesh,BRAKE PARTS,ZF04N643447TG,Rotor (Eli_te),10.0,12900.94,50.0
152,Orissa,BRAKE PARTS,ZF04N605257TC,Brake Pad_Tru Blue CERAMIC,7.0,12885.6,70.0
153,Karnataka,BRAKE PARTS,ZF04N601577TB,Brake Pad_Tru Blue,6.0,12788.96,54.55
154,Madhya Pradesh,BRAKE PARTS,ZF04N603017TB,Brake Pad_Tru Blue,12.0,12747.57,60.0
155,Maharashtra,BRAKE PARTS,ZF04N600457TC,Brake Pad_Tru Blue CERAMIC,6.0,12540.46,51.19
156,Maharashtra,BRAKE PARTS,ZF86AB74977GM,MINOR KIT W/C(J72/250),200.0,12379.980000000001,54.9
157,Karnataka,BRAKE PARTS,ZF04L71191KIT,MINOR KIT TMC,20.0,12364.04,66.67
158,Maharashtra,BRAKE PARTS,ZF04N543727TG,Rotor Safa_ri II Gen,6.0,12356.380000000001,72.58
159,Kerala,EMS,ZF04N264695SS,WHEEL SPEED SENSORS,18.0,12314.939999999999,58.06
160,Madhya Pradesh,BRAKE PARTS,ZF04N648537TG,ROTOR_ENDEAVOUR (3RD GEN) RR,5.0,12199.13,100.0
161,Gujarat,BRAKE PARTS,ZF04L688377GM,"PAD KIT, IAM TOYOTA COROLLA",7.0,12183.029999999999,78.0
162,Madhya Pradesh,BRAKE PARTS,ZF04N643377TG,ROTOR_XUV 700 RR,8.0,12057.24,57.14
163,Rajasthan,BRAKE PARTS,ZF043182807GM,REAR BRAKEASSY. RH(H13/4),7.0,11929.9,58.33
164,Maharashtra,BRAKE PARTS,ZF04N603307TB,Brake Pad_Tru Blue,15.0,11907.68,71.9
165,West Bengal,EMS,ZF04N262215IC,IGNITION COIL,4.0,11633.86,100.0
166,Maharashtra,BRAKE PARTS,ZF04N643347TG,Rotor (Maxi_mo ),14.0,11544.88,58.68
167,Haryana,BRAKE PARTS,ZF04N651927TG,ROTOR_VENUE,8.0,11523.4,78.43
168,Rajasthan,BRAKE PARTS,ZF04N167377TG,ROTOR (M-Hawk Without Sensor LH),8.0,11505.04,78.55
169,Kerala,OTHERS,ZF04N25447AFL,A/F Kit -Ashok Leyland U truck,5.0,11505.0,100.0
170,Madhya Pradesh,BRAKE PARTS,ZF04N601457TB,Brake Pad_Tru Blue,10.0,11379.220000000001,55.07
171,Tamil Nadu,BRAKE PARTS,ZF043184747GM,"SPRING, PAD",304.0,11368.470000000001,85.35
172,Rajasthan,OTHERS,ZF04N21353AFL,A/F Tata Ace (Elliptical),50.0,11328.0,100.0
173,Jharkhand,EMS,ZF04N261835IC,IGNITION COIL,12.0,11274.9,57.14
174,Madhya Pradesh,BRAKE PARTS,ZF04N598757TC,Brake Pad_Tru Blue CERAMIC,5.0,10381.35,62.5
175,Uttar Pradesh,BRAKE PARTS,ZF047145137GM,HOSE ASSY FRONT BRAKE (640mm),42.0,10340.69,87.5
